obj: 0, y: 281, p: [0], t: 2043.7083333333335
obj: 0, y: 281, p: [0], t: 2085.4166666666665
obj: 0, y: 281, p: [0], t: 2127.125
obj: 0, y: 281, p: [0], t: 2168.833333333333
obj: 0, y: 281, p: [0], t: 2210.5416666666665
obj: 0, y: 281, p: [0], t: 2252.25
obj: 0, y: 281, p: [0], t: 2293.9583333333335
obj: 0, y: 281, p: [0], t: 2335.6666666666665
obj: 0, y: 281, p: [0], t: 2377.375
obj: 0, y: 281, p: [0], t: 2419.0833333333335
obj: 0, y: 281, p: [0], t: 2460.7916666666665
obj: 0, y: 281, p: [0], t: 2502.5
obj: 0, y: 281, p: [0], t: 2544.208333333333
obj: 0, y: 281, p: [0], t: 2585.9166666666665
obj: 0, y: 281, p: [0], t: 2627.625
obj: 0, y: 281, p: [0], t: 2669.3333333333335
obj: 0, y: 282, p: [0], t: 2711.0416666666665
obj: 0, y: 282, p: [0], t: 2752.75
obj: 0, y: 281, p: [0], t: 2794.458333333333
obj: 0, y: 281, p: [0], t: 2836.1666666666665
obj: 0, y: 281, p: [0], t: 2877.875
obj: 0, y: 281, p: [0], t: 2919.583333333333
obj: 0, y: 282, p: [0], t: 2961.2916666666665
obj: 0, y: 281, p: [0], t: 3003.0
obj: 0, y: 281, p: [0], t: 3044.7083333333335
obj: 0, y: 281, p: [0], t: 3086.4166666666665
obj: 0, y: 281, p: [0], t: 3128.125
obj: 0, y: 282, p: [0], t: 3169.833333333333
obj: 0, y: 281, p: [0], t: 3211.5416666666665
obj: 0, y: 281, p: [0], t: 3253.25
obj: 0, y: 281, p: [0], t: 3294.958333333333
obj: 0, y: 281, p: [0], t: 3336.6666666666665
obj: 0, y: 282, p: [0], t: 3378.3749999999995
obj: 0, y: 281, p: [0], t: 3420.0833333333335
obj: 0, y: 281, p: [0], t: 3461.7916666666665
obj: 0, y: 281, p: [0], t: 3503.5
obj: 0, y: 281, p: [0], t: 3545.208333333333
obj: 0, y: 282, p: [0], t: 3586.916666666667
obj: 0, y: 281, p: [0], t: 3628.625
obj: 0, y: 281, p: [0], t: 3670.333333333333
obj: 0, y: 281, p: [0], t: 3712.0416666666665
obj: 0, y: 281, p: [0], t: 3753.7499999999995
obj: 0, y: 282, p: [0], t: 3795.4583333333335
obj: 0, y: 281, p: [0], t: 3837.1666666666665
obj: 0, y: 281, p: [0], t: 3878.875
obj: 0, y: 282, p: [0], t: 3920.583333333333
obj: 0, y: 285, p: [0], t: 3962.2916666666665
obj: 0, y: 285, p: [0], t: 4003.9999999999995
obj: 0, y: 284, p: [0], t: 4045.7083333333326
obj: 0, y: 283, p: [0], t: 4087.416666666667
obj: 0, y: 284, p: [0], t: 4129.125
obj: 0, y: 285, p: [0], t: 4170.833333333333
obj: 0, y: 284, p: [0], t: 4212.541666666667
obj: 0, y: 284, p: [0], t: 4254.25
obj: 0, y: 284, p: [0], t: 4295.958333333333
obj: 0, y: 284, p: [0], t: 4337.666666666666
obj: 0, y: 284, p: [0], t: 4379.375
obj: 0, y: 284, p: [0], t: 4421.083333333333
obj: 0, y: 284, p: [0], t: 4462.791666666667
obj: 0, y: 284, p: [0], t: 4504.5
obj: 0, y: 282, p: [0], t: 4546.208333333333
obj: 0, y: 283, p: [0], t: 4587.916666666667
obj: 0, y: 282, p: [0], t: 4629.625
obj: 0, y: 282, p: [0], t: 4671.333333333333
obj: 0, y: 282, p: [0], t: 4713.041666666666
obj: 0, y: 282, p: [0], t: 4754.75
obj: 0, y: 283, p: [0], t: 4796.458333333333
obj: 0, y: 282, p: [0], t: 4838.166666666667
obj: 0, y: 283, p: [0], t: 4879.875
obj: 0, y: 283, p: [0], t: 4921.583333333333
obj: 0, y: 283, p: [0], t: 4963.291666666667
obj: 0, y: 284, p: [0], t: 5005.0
obj: 0, y: 288, p: [0], t: 5046.708333333333
obj: 0, y: 288, p: [0], t: 5088.416666666666
obj: 0, y: 288, p: [0], t: 5130.125
obj: 0, y: 288, p: [0], t: 5171.833333333333
obj: 0, y: 288, p: [0], t: 5213.541666666666
obj: 0, y: 288, p: [0], t: 5255.25
obj: 0, y: 287, p: [0], t: 5296.958333333333
obj: 0, y: 288, p: [0], t: 5338.666666666667
obj: 0, y: 287, p: [0], t: 5380.375
obj: 0, y: 287, p: [0], t: 5422.083333333333
obj: 0, y: 287, p: [0], t: 5463.791666666666
obj: 0, y: 287, p: [0], t: 5505.5
obj: 0, y: 287, p: [0], t: 5547.208333333333
obj: 0, y: 287, p: [0], t: 5588.916666666666
obj: 0, y: 287, p: [0], t: 5630.625
obj: 0, y: 287, p: [0], t: 5672.333333333333
obj: 0, y: 287, p: [0], t: 5714.041666666667
obj: 0, y: 287, p: [0], t: 5755.75
obj: 0, y: 288, p: [0], t: 5797.458333333333
obj: 0, y: 284, p: [0], t: 5839.166666666666
obj: 0, y: 280, p: [0], t: 5880.875
obj: 0, y: 278, p: [0], t: 5922.583333333333
obj: 0, y: 279, p: [0], t: 5964.291666666666
obj: 0, y: 283, p: [0], t: 6006.0
obj: 0, y: 283, p: [0], t: 6047.708333333333
obj: 0, y: 283, p: [0], t: 6089.416666666667
obj: 0, y: 283, p: [0], t: 6131.125
obj: 0, y: 283, p: [0], t: 6172.833333333333
obj: 0, y: 282, p: [0], t: 6214.541666666666
obj: 0, y: 282, p: [0], t: 6256.25
obj: 0, y: 282, p: [0], t: 6297.958333333333
obj: 0, y: 282, p: [0], t: 6339.666666666666
obj: 0, y: 282, p: [0], t: 6381.374999999999
obj: 0, y: 282, p: [0], t: 6423.083333333333
obj: 0, y: 282, p: [0], t: 6464.791666666667
obj: 0, y: 283, p: [0], t: 6506.5
obj: 0, y: 283, p: [0], t: 6548.208333333333
obj: 0, y: 284, p: [0], t: 6589.916666666666
obj: 0, y: 284, p: [0], t: 6631.625
